model,labels_full_data,train_size,n_clusters,params,train_sil,train_dbi,train_ch,test_sil,test_dbi,test_ch,train_labels,test_labels,membership
KMeans,[0 0 2 ... 2 0 0],0.09999999999999998,3,"n_init=10, max_iter=100",0.2071644849792586,1.6734357825059396,92.67716381227703,0.19924798000674704,1.7202390230629465,653.5033401810118,,,
KMeans,[0 0 2 ... 2 0 0],0.09999999999999998,3,"n_init=10, max_iter=300",0.2071644849792586,1.6734357825059396,92.67716381227703,0.19924798000674704,1.7202390230629465,653.5033401810118,,,
KMeans,[0 0 2 ... 2 0 0],0.09999999999999998,3,"n_init=10, max_iter=600",0.2071644849792586,1.6734357825059396,92.67716381227703,0.19924798000674704,1.7202390230629465,653.5033401810118,,,
KMeans,[1 1 2 ... 2 1 2],0.09999999999999998,3,"n_init=20, max_iter=100",0.2071644849792586,1.6734357825059396,92.67716381227703,0.19924798000674704,1.7202390230629465,653.5033401810118,,,
KMeans,[1 1 2 ... 2 1 2],0.09999999999999998,3,"n_init=20, max_iter=300",0.2071644849792586,1.6734357825059396,92.67716381227703,0.19924798000674704,1.7202390230629465,653.5033401810118,,,
KMeans,[1 1 2 ... 2 1 2],0.09999999999999998,3,"n_init=20, max_iter=600",0.2071644849792586,1.6734357825059396,92.67716381227703,0.19924798000674704,1.7202390230629465,653.5033401810118,,,
KMeans,[0 0 2 ... 2 0 2],0.09999999999999998,3,"n_init=50, max_iter=100",0.20658053087749528,1.6713040036252813,92.67876468360394,0.19913501772712602,1.7183960545293548,653.5707756864792,,,
KMeans,[0 0 2 ... 2 0 2],0.09999999999999998,3,"n_init=50, max_iter=300",0.20658053087749528,1.6713040036252813,92.67876468360394,0.19913501772712602,1.7183960545293548,653.5707756864792,,,
KMeans,[0 0 2 ... 2 0 2],0.09999999999999998,3,"n_init=50, max_iter=600",0.20658053087749528,1.6713040036252813,92.67876468360394,0.19913501772712602,1.7183960545293548,653.5707756864792,,,
KMeans,[2 0 3 ... 2 3 2],0.09999999999999998,5,"n_init=10, max_iter=100",0.20967955305640232,1.4916597396772544,88.14680624912756,0.21138625048827528,1.5188615518443527,632.554901191589,,,
KMeans,[2 0 3 ... 2 3 2],0.09999999999999998,5,"n_init=10, max_iter=300",0.20967955305640232,1.4916597396772544,88.14680624912756,0.21138625048827528,1.5188615518443527,632.554901191589,,,
KMeans,[2 0 3 ... 2 3 2],0.09999999999999998,5,"n_init=10, max_iter=600",0.20967955305640232,1.4916597396772544,88.14680624912756,0.21138625048827528,1.5188615518443527,632.554901191589,,,
KMeans,[2 0 3 ... 2 3 2],0.09999999999999998,5,"n_init=20, max_iter=100",0.20967955305640232,1.4916597396772544,88.14680624912756,0.21138625048827528,1.5188615518443527,632.554901191589,,,
KMeans,[2 0 3 ... 2 3 2],0.09999999999999998,5,"n_init=20, max_iter=300",0.20967955305640232,1.4916597396772544,88.14680624912756,0.21138625048827528,1.5188615518443527,632.554901191589,,,
KMeans,[2 0 3 ... 2 3 2],0.09999999999999998,5,"n_init=20, max_iter=600",0.20967955305640232,1.4916597396772544,88.14680624912756,0.21138625048827528,1.5188615518443527,632.554901191589,,,
